"From https://aws.amazon.com/ec2/pricing/on-demand/, US East, 2016-12-7",,,,,
Name,vCPU,ECU,Memory (GiB),Instance Storage (GB),Linux/UNIX Usage
t2.nano,1,Variable,0.5,EBS Only,$0.0059 per Hour
t2.micro,1,Variable,1,EBS Only,$0.012 per Hour
t2.small,1,Variable,2,EBS Only,$0.023 per Hour
t2.medium,2,Variable,4,EBS Only,$0.047 per Hour
t2.large,2,Variable,8,EBS Only,$0.094 per Hour
t2.xlarge,4,Variable,16,EBS Only,$0.188 per Hour
t2.2xlarge,8,Variable,32,EBS Only,$0.376 per Hour
m4.large,2,6.5,8,EBS Only,$0.108 per Hour
m4.xlarge,4,13,16,EBS Only,$0.215 per Hour
m4.2xlarge,8,26,32,EBS Only,$0.431 per Hour
m4.4xlarge,16,53.5,64,EBS Only,$0.862 per Hour
m4.10xlarge,40,124.5,160,EBS Only,$2.155 per Hour
m4.16xlarge,64,188,256,EBS Only,$3.447 per Hour
m3.medium,1,3,3.75,1 x 4 SSD,$0.067 per Hour
m3.large,2,6.5,7.5,1 x 32 SSD,$0.133 per Hour
m3.xlarge,4,13,15,2 x 40 SSD,$0.266 per Hour
m3.2xlarge,8,26,30,2 x 80 SSD,$0.532 per Hour
c4.large,2,8,3.75,EBS Only,$0.1 per Hour
c4.xlarge,4,16,7.5,EBS Only,$0.199 per Hour
c4.2xlarge,8,31,15,EBS Only,$0.398 per Hour
c4.4xlarge,16,62,30,EBS Only,$0.796 per Hour
c4.8xlarge,36,132,60,EBS Only,$1.591 per Hour
c3.large,2,7,3.75,2 x 16 SSD,$0.105 per Hour
c3.xlarge,4,14,7.5,2 x 40 SSD,$0.21 per Hour
c3.2xlarge,8,28,15,2 x 80 SSD,$0.42 per Hour
c3.4xlarge,16,55,30,2 x 160 SSD,$0.84 per Hour
c3.8xlarge,32,108,60,2 x 320 SSD,$1.68 per Hour
p2.xlarge,4,12,61,EBS Only,$0.9 per Hour
p2.8xlarge,32,94,488,EBS Only,$7.2 per Hour
p2.16xlarge,64,188,732,EBS Only,$14.4 per Hour
g2.2xlarge,8,26,15,60 SSD,$0.65 per Hour
g2.8xlarge,32,104,60,2 x 120 SSD,$2.6 per Hour
x1.16xlarge,64,174.5,976,1 x 1920 SSD,$6.669 per Hour
x1.32xlarge,128,349,1952,2 x 1920 SSD,$13.338 per Hour
r3.large,2,6.5,15,1 x 32 SSD,$0.166 per Hour
r3.xlarge,4,13,30.5,1 x 80 SSD,$0.333 per Hour
r3.2xlarge,8,26,61,1 x 160 SSD,$0.665 per Hour
r3.4xlarge,16,52,122,1 x 320 SSD,$1.33 per Hour
r3.8xlarge,32,104,244,2 x 320 SSD,$2.66 per Hour
r4.large,2,7,15.25,EBS Only,$0.133 per Hour
r4.xlarge,4,13.5,30.5,EBS Only,$0.266 per Hour
r4.2xlarge,8,27,61,EBS Only,$0.532 per Hour
r4.4xlarge,16,53,122,EBS Only,$1.064 per Hour
r4.8xlarge,32,99,244,EBS Only,$2.128 per Hour
r4.16xlarge,64,195,488,EBS Only,$4.256 per Hour
i2.xlarge,4,14,30.5,1 x 800 SSD,$0.853 per Hour
i2.2xlarge,8,27,61,2 x 800 SSD,$1.705 per Hour
i2.4xlarge,16,53,122,4 x 800 SSD,$3.41 per Hour
i2.8xlarge,32,104,244,8 x 800 SSD,$6.82 per Hour
d2.xlarge,4,14,30.5,3 x 2000 HDD,$0.69 per Hour
d2.2xlarge,8,28,61,6 x 2000 HDD,$1.38 per Hour
d2.4xlarge,16,56,122,12 x 2000 HDD,$2.76 per Hour
d2.8xlarge,36,116,244,24 x 2000 HDD,$5.52 per Hour
